UBLIVE-台灣頻道,#genre#
東森財經,http://45.11.92.170/play/smart/xziptv.php?id=12
華視新聞,http://45.11.92.170/play/smart/xziptv.php?id=6
iNEWS,http://45.11.92.170/play/smart/xziptv.php?id=8
台視新聞,http://45.11.92.170/play/smart/xziptv.php?id=1
年代新聞,http://45.11.92.170/play/smart/xziptv.php?id=1099
三立国際,http://45.11.92.170/play/smart/xziptv.php?id=2285
非凡商業,http://45.11.92.170/play/smart/xziptv.php?id=187
寰宇財經,http://45.11.92.170/play/smart/xziptv.php?id=320
台視財經,http://45.11.92.170/play/smart/xziptv.php?id=300
寰宇新聞,http://45.11.92.170/play/smart/xziptv.php?id=304
壹電視新聞,http://45.11.92.170/play/smart/xziptv.php?id=303
FRANCE 24,http://45.11.92.170/play/smart/xziptv.php?id=1042
CBN News,http://45.11.92.170/play/smart/xziptv.php?id=499
第1商業,http://45.11.92.170/play/smart/xziptv.php?id=186
Lifetime台湾版,http://45.11.92.170/play/smart/xziptv.php?id=2283
緯來精彩台,http://45.11.92.170/play/smart/xziptv.php?id=2280
MOMO追劇,http://45.11.92.170/play/smart/xziptv.php?id=494
愛爾達影劇,http://45.11.92.170/play/smart/xziptv.php?id=500
東森戲劇,http://45.11.92.170/play/smart/xziptv.php?id=321
八大戲劇,http://45.11.92.170/play/smart/xziptv.php?id=81
緯來戲劇,http://45.11.92.170/play/smart/xziptv.php?id=339
衛視電影,http://45.11.92.170/play/smart/xziptv.php?id=93
東森電影,http://45.11.92.170/play/smart/xziptv.php?id=350
緯來電影,http://45.11.92.170/play/smart/xziptv.php?id=96
HBO HD,http://45.11.92.170/play/smart/xziptv.php?id=332
東森洋片,http://45.11.92.170/play/smart/xziptv.php?id=1128
壹電影,http://45.11.92.170/play/smart/xziptv.php?id=2284
好萊塢電影,http://45.11.92.170/play/smart/xziptv.php?id=37
FOX MOVIES,http://45.11.92.170/play/smart/xziptv.php?id=387
FOX,http://45.11.92.170/play/smart/xziptv.php?id=384
靖天映畫,http://45.11.92.170/play/smart/xziptv.php?id=349
靖洋戲劇,http://45.11.92.170/play/smart/xziptv.php?id=319
EYE戲劇,http://45.11.92.170/play/smart/xziptv.php?id=191
三立戲劇,http://45.11.92.170/play/smart/xziptv.php?id=64
霹靂臺灣,http://45.11.92.170/play/smart/xziptv.php?id=1339
民視影劇,http://45.11.92.170/play/smart/xziptv.php?id=1023
影迷數位電影,http://45.11.92.170/play/smart/xziptv.php?id=497
天映經典,http://45.11.92.170/play/smart/xziptv.php?id=2289
龍華電影,http://45.11.92.170/play/smart/xziptv.php?id=311
華納電影,http://45.11.92.170/play/smart/xziptv.php?id=83
金光布袋戲,http://45.11.92.170/play/smart/xziptv.php?id=1060
緯來體育,http://45.11.92.170/play/smart/xziptv.php?id=52
Eleven Sport 1,http://45.11.92.170/play/smart/xziptv.php?id=1133
Eleven Sport 2,http://45.11.92.170/play/smart/xziptv.php?id=301
ELTA體育1,http://45.11.92.170/play/smart/xziptv.php?id=192
ELTA體育2,http://45.11.92.170/play/smart/xziptv.php?id=193
ELTA體育3,http://45.11.92.170/play/smart/xziptv.php?id=194
Z頻道,http://45.11.92.170/play/smart/xziptv.php?id=1130
博斯無限,http://45.11.92.170/play/smart/xziptv.php?id=381
博斯無限2,http://45.11.92.170/play/smart/xziptv.php?id=426
亞洲旅遊,http://45.11.92.170/play/smart/xziptv.php?id=2299
BabyFirst,http://45.11.92.170/play/smart/xziptv.php?id=2274
nick Jr 台湾版,http://45.11.92.170/play/smart/xziptv.php?id=2281
大愛一臺,http://45.11.92.170/play/smart/xziptv.php?id=11
海豚綜合,http://45.11.92.170/play/smart/xziptv.php?id=1505
UBLIVE-港澳頻道,#genre#
TVB翡翠,http://45.11.92.170/play/smart/xziptv.php?id=30
TVB翡翠,http://45.11.92.170/play/smart/xziptv.php?id=390
TVB明珠,http://45.11.92.170/play/smart/xziptv.php?id=391
無線新聞,http://45.11.92.170/play/smart/xziptv.php?id=45
無線新聞,http://45.11.92.170/play/smart/xziptv.php?id=394
有線新聞,http://45.11.92.170/play/smart/xziptv.php?id=395
Viutv,http://45.11.92.170/play/smart/xziptv.php?id=72
TVB無線財經,http://45.11.92.170/play/smart/xziptv.php?id=393
TVB J2,http://45.11.92.170/play/smart/xziptv.php?id=392
NOW新聞,http://45.11.92.170/play/smart/xziptv.php?id=396
NOW直播,http://45.11.92.170/play/smart/xziptv.php?id=400
鳳凰香港,http://45.11.92.170/play/smart/xziptv.php?id=358
鳳凰衛視,http://45.11.92.170/play/smart/xziptv.php?id=357
鳳凰衛視,http://45.11.92.170/play/smart/xziptv.php?id=2291
鳳凰資訊,http://45.11.92.170/play/smart/xziptv.php?id=359
鳳凰资讯,http://45.11.92.170/play/smart/xziptv.php?id=2292
星空衛視,http://45.11.92.170/play/smart/xziptv.php?id=56
港臺31,http://45.11.92.170/play/smart/xziptv.php?id=353
港臺32,http://45.11.92.170/play/smart/xziptv.php?id=397
香港開電視,http://45.11.92.170/play/smart/xziptv.php?id=17
HKC娛樂,,http://45.11.92.170/play/smart/xziptv.php?id=2293
HKC電影,http://45.11.92.170/play/smart/xziptv.php?id=354
HKC體育1,http://45.11.92.170/play/smart/xziptv.php?id=401
HKC體育2,http://45.11.92.170/play/smart/xziptv.php?id=356
HKS,http://45.11.92.170/play/smart/xziptv.php?id=399
澳視澳門,http://45.11.92.170/play/smart/xziptv.php?id=23
澳視葡語,http://45.11.92.170/play/smart/xziptv.php?id=24
澳門Macau,http://45.11.92.170/play/smart/xziptv.php?id=364
有線603,http://45.11.92.170/play/smart/xziptv.php?id=398
廣東珠江,http://45.11.92.170/play/smart/xziptv.php?id=1034
18台,http://45.11.92.170/play/smart/xziptv.php?id=44
澳門蓮花,http://45.11.92.170/play/smart/xziptv.php?id=70
鳳凰電影,http://45.11.92.170/play/smart/xziptv.php?id=19
Viutv 6,http://45.11.92.170/play/smart/xziptv.php?id=176
耀才财经,http://45.11.92.170/play/smart/xziptv.php?id=355
創世電視,http://45.11.92.170/play/smart/xziptv.php?id=1317
ATV亞視,http://45.11.92.170/play/smart/xziptv.php?id=1457
陽光衛視,http://45.11.92.170/play/smart/xziptv.php?id=1607
美亞電影,http://45.11.92.170/play/smart/xziptv.php?id=375
NOW SPORTS,http://45.11.92.170/play/smart/xziptv.php?id=1358
嶺南戲曲,http://45.11.92.170/play/smart/xziptv.php?id=1502
新時代東部,http://45.11.92.170/play/smart/xziptv.php?id=1286
新時代西部,http://45.11.92.170/play/smart/xziptv.php?id=1287
城市電視,http://45.11.92.170/play/smart/xziptv.php?id=1289
新時代2,http://45.11.92.170/play/smart/xziptv.php?id=1288
TVB經典,http://45.11.92.170/play/smart/xziptv.php?id=1083
UBLIVE-新聞頻道,#genre#
